GeneID	GSM2069823	GSM2069824	GSM2069825	GSM2069826	GSM2069827	GSM2069828	GSM2069829	GSM2069830	GSM2069831	GSM2069832	GSM2069833	GSM2069834	GSM2069835	GSM2069836	GSM2069837	GSM2069838	GSM2069839	GSM2069840	GSM2069841	GSM2069842	GSM2069843	GSM2069844	GSM2069845	GSM2069846	GSM2069847	GSM2069848	GSM2069849	GSM2069850
51218	57.84	66.12	62.25	84.75	46.6	33.58	32.76	60.45	37.13	31.73	40.59	81.48	44.69	46.57	26.52	33.24	30.67	28.65	43.46	66.94	56	46.88	53.53	64.23	44.36	90.91	52.89	36.25
100506999	0	0	0	0.1464	0.01611	0	0.1432	0.3551	0	0.01832	0	0.02618	0.09084	0	0	0	0	0.009686	0	0.02645	0	0	0	0	0.09527	0	0.01649	0
105370643	0	0	0	0	0.02168	0	0.1542	0.1594	0.03629	0	0	0	0.1747	0.04735	0	0	0	0	0	0	0	0	0.0448	0	0.06412	0	0	0
27004	0.03089	0.0392	0.02076	0.9312	2.427	0	0.9397	0.8165	0.5686	0.1226	0.1406	0	0.7908	0.1178	0.03863	0.01968	0.03168	0	0.007899	0.01771	0.01902	0	0.234	1.163	0	0.01342	0	3.202
9623	0.0795	0	0.03562	0	0	0	0.1481	0.0204	0	0	0.07237	0.02256	0.04473	0	0.03977	0.02532	0.01359	0	0	0	0	0	0	0.2229	0	0.06909	0	6.619
8115	1.272	0.1596	0.31	0.01663	0.007321	0	0	1.302	0.03676	0	2.138	0.1547	0.3657	0.1119	0.5454	0.3873	0.7455	0.02641	0.4504	1.274	0.3873	0.04911	0.6201	0.1848	0.0866	0.2186	0.05994	139.9
107984703	0.01629	0	0.03284	0	0	0.01763	0	0.02508	0	0	0	0	0.02749	0	0.01222	0.01556	0.02506	0	0	0	0	0	0	0	0.05045	0	0.01746	22.02
105370644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05339
100507043	0.008702	0	0.01169	5.115	0.6016	0	0	0	0	0.01036	0	0.007406	0	0	0.006529	0	0.02231	0	0.006675	0.007483	0.008036	0	0	0.0941	0	0	0.009328	0.7883
56967	2.354	0.8471	9.84	0.1046	10.6	0.9373	0.843	4.542	6.71	1.935	4.577	8.561	2.176	4.455	0.2297	2.523	1.651	0.6871	4.309	0.3724	0.1203	0.5872	2.879	3.185	23.09	0.3438	2.154	0.3787
